en-us	bg-bg	cs-cz	da-dk	de-de	el-gr	es-es	et-ee	fi-fi	fr-fr	ga	hr-hr	hu-hu	is-is	it-it	kk-kz	lt-lt	lv-lv	mk-mk	mt-mt	nl-nl	nb-no	pl-pl	pt-pt	ro-ro	ru-ru	sk-sk	sl-si	sq-al	sr-rs	sv-se	tr-tr	uk-ua	zh-cn	bs-ba
Powder and solvent for oral solution	Прах и разтворител за перорален разтвор	Prášek a rozpouštědlo pro perorální roztok	Pulver og solvens til oral opløsning	Pulver und Lösungsmittel zur Herstellung einer Lösung zum Einnehmen	Κόνις και διαλύτης για πόσιμο διάλυμα	Polvo y disolvente para solución oral	Suukaudse lahuse pulber ja lahusti	Jauhe ja liuotin oraaliliuosta varten	Poudre et solvant pour solution buvable	Púdar agus tuaslagóir le haghaidh tuaslagán béil	Prašak i otapalo za oralnu otopinu	Por és oldószer belsőleges oldhathoz	Mixtúruduft og leysir, lausn	Polvere e solvente per soluzione orale	Оральдік ерітіндіге арналған ұнтақ және еріткіш	Milteliai ir tirpiklis geriamajam tirpalui	Pulveris un šķīdinātājs iekšķīgi lietojama šķīduma pagatavošanai	Прашок и вехикулум за перорален раствор	Trab u solvent għal soluzzjoni orali	Poeder en oplosmiddel voor drank	Pulver og væske til mikstur, oppløsning	Proszek i rozpuszczalnik do sporządzania roztworu doustnego	Pó e solvente para solução oral	Pulbere şi solvent pentru soluţie orală	Порошок и растворитель для приготовления раствора для приема внутрь	Prášok a rozpúšťadlo na perorálny roztok	Prašek in vehikel za peroralno raztopino	Pluhur dhe tretës për tretësirë që merret nga goja	Prašak i rastvarač za oralni rastvor	Pulver och vätska till oral lösning	Oral çözelti tozu ve çözücüsü	Порошок та розчинник для орального розчину	口服溶液用粉与溶剂	 - 
Powder and solvent for oral suspension	Прах и разтворител за перорална суспензия	Prášek a rozpouštědlo pro perorální suspenzi	Pulver og solvens til oral suspension	Pulver und Lösungsmittel zur Herstellung einer Suspension zum Einnehmen	Κόνις και διαλύτης για πόσιμο εναιώρημα	Polvo y disolvente para suspensión oral	Suukaudse suspensiooni pulber ja lahusti	Jauhe ja liuotin oraalisuspensiota varten	Poudre et solvant pour suspension buvable	Púdar agus tuaslagóir le haghaidh fuaidreán béil	Prašak i otapalo za oralnu suspenziju	Por és oldószer belsőleges szuszpenzióhoz	Mixtúruduft og leysir, dreifa	Polvere e solvente per sospensione orale	Оральдік суспензияға арналған ұнтақ және еріткіш	Milteliai ir tirpiklis geriamajai suspensijai	Pulveris un šķīdinātājs iekšķīgi lietojamas suspensijas pagatavošanai	Прашок и вехикулум за перорална суспензиjа	Trab u solvent għal suspensjoni orali	Poeder en oplosmiddel voor suspensie voor oraal gebruik	Pulver og væske til mikstur, suspensjon	Proszek i rozpuszczalnik do sporządzania zawiesiny doustnej	Pó e veículo para suspensão oral	Pulbere şi solvent pentru suspensie orală	Порошок и растворитель для приготовления суспензии для приема внутрь	Prášok a vehikulum na perorálnu suspenziu	Prašek in vehikel za peroralno suspenzijo	Pluhur dhe tretës për pezulli që merret nga goja	Prašak i rastvarač za oralnu suspenziju	Pulver och vätska till oral suspension	Oral süspansiyon tozu ve çözücüsü	Порошок та розчинник для оральної суспензії	口服混悬液用粉与溶剂	 - 
Powder and solvent for syrup	Прах и разтворител за сироп	Prášek a rozpouštědlo pro sirup	Pulver og solvens til syrup	Pulver und Lösungsmittel zur Herstellung eines Sirups	Κόνις και διαλύτης για σιρόπι	Polvo y disolvente para jarabe	Siirupi pulber ja lahusti	Jauhe ja liuotin siirappia varten	Poudre et solvant pour sirop	Púdar agus tuaslagóir le haghaidh síoróipe	Prašak i otapalo za sirup	 - 	Saftarduft og leysir	Polvere e solvente per sciroppo	 - 	Milteliai ir tirpiklis sirupui	Pulveris un šķīdinātājs sīrupa pagatavošanai	 - 	 - 	Poeder en oplosmiddel voor stroop	Pulver og væske til sirup	Proszek i rozpuszczalnik do sporządzania syropu	Pó e solvente para xarope	 - 	Порошок и растворитель для приготовления сиропа	Prášok a rozpúšťadlo na sirup	Prašek in vehikel za sirup	 - 	Prašak i rastvarač za sirup	Pulver och vätska till sirap	Şurup için toz ve çözücü	 - 	 - 	 - 
Powder and solution for dental cement	Прах и разтвор за дентален цимент	Prášek a roztok pro zubní cement	Pulver og opløsning til dentalcement	Pulver und Lösung zur Herstellung eines Dentalzements	Κόνις και διάλυμα για οδοντοκονία	Polvo y solución para cemento dental	Hambatsemendi pulber ja lahus	Jauhe ja liuos hammassementtiä varten	Poudre et solution pour ciment dentaire	Púdar agus tuaslagán le haghaidh stroighin fiacla	Prašak i otopina za dentalni cement	 - 	Duft og lausn fyrir tannkítti	Polvere e soluzione per cemento dentale	Тіске арналған цементті дайындау үшін ұнтақ және  ерітінді	Milteliai ir tirpalas dantų cementui	Pulveris un šķīdums dentālā cementa pagatavošanai	 - 	 - 	Poeder en oplossing voor cement voor dentaal gebruik	Pulver og oppløsning til dentalsement	Proszek i roztwór do sporządzania cementu dentystycznego	Pó e solução para cimento dental	 - 	Порошок и раствор для приготовления цемента дентального	Prášok a roztok na dentálny cement	Prašek in raztopina za dentalni cement	 - 	Prašak i rastvor za dentalni cement	Pulver och lösning till dentalcement	Diş dolgu maddesi için toz ve çözelti	Порошок та розчин для дентального цементу	 - 	 - 
Eye drops, powder and solvent for solution	Капки за очи, прах и разтворител за разтвор	Oční kapky, prášek a rozpouštědlo pro roztok	Pulver og solvens til øjendråber, opløsning	Pulver und Lösungsmittel zur Herstellung von Augentropfen	Οφθαλμικές σταγόνες, κόνις και διαλύτης για διάλυμα	Polvo y disolvente para colirio en solución	Silmatilgad, lahuse pulber ja lahusti	Silmätipat, jauhe ja liuotin liuosta varten	Poudre et solvant pour collyre en solution	Braonta súl, púdar agus tuaslagóir le haghaidh tuaslagáin	Kapi za oko, prašak i otapalo za otopinu	Por és oldószer oldqtos szemcsepphez	Augndropaduft og leysir, lausn	Collirio, polvere e solvente per soluzione	Көзге арналған тамшылар, ерітінді дайындау үшін ұнтақ және еріткіш	Akių lašai (milteliai ir tirpiklis tirpalui)	Acu pilieni, pulveris un šķīdinātājs šķīduma pagatavošanai	Капки за око, прашок и вехикулум за раствор	Qtar għall-għajnejn, trab u solvent għal soluzzjoni	Oogdruppels, poeder en oplosmiddel voor oplossing	Pulver og væske til øyedråper, oppløsning	Krople do oczu, proszek i rozpuszczalnik do przygotowania roztworu	Colírio, pó e solvente para solução	Picături oftalmice, pulbere şi solvent pentru soluţie	Капли глазные, порошок и растворитель для приготовления раствора	Prášok a rozpúšťadlo na očné roztokové kvapky	Kapljice za oko, prašek in vehikel za raztopino	Pluhur dhe tretës për tretësirë për pika në sy	Kapi za oči, prašak i rastvarač za rastvor	Ögondroppar, pulver och vätska till lösning	Göz damlası, toz ve çözücüsü	Краплі очні, порошок та розчинник для розчину	滴眼液用粉与溶剂	 - 
Eye drops, powder and solvent for suspension	Капки за очи, прах и разтворител за суспензия	Oční kapky, prášek a rozpouštědlo pro suspenzi	Pulver og solvens til øjendråber, suspension	Pulver und Lösungsmittel zur Herstellung einer Augentropfensuspension	Οφθαλμικές σταγόνες, κόνις και διαλύτης για εναιώρημα	Polvo y disolvente para colirio en suspensión	Silmatilgad, suspensiooni pulber ja lahusti	Silmätipat, jauhe ja liuotin suspensiota varten	Poudre et solvant pour collyre en suspension	Braonta súl, púdar agus tuaslagóir le haghaidh fuaidreáin	Kapi za oko, prašak i otapalo za suspenziju	Por és oldószer szuszpenziós szemcsepphez	Augndropaduft og leysir, dreifa	Collirio, polvere e solvente per sospensione	Көзге арналған тамшылар, суспензия дайындау үшін ұнтақ және еріткіш	Akių lašai (milteliai ir tirpiklis suspensijai)	Acu pilieni, pulveris un šķīdinātājs suspensijas pagatavošanai	Капки за око, прашок и вехикулум за суспензиjа	Qtar għall-għajnejn, trab u solvent għall-suspensjoni	Oogdruppels, poeder en oplosmiddel voor suspensie	Pulver og væske til øyedråper, suspensjon	Krople do oczu, proszek i rozpuszczalnik do przygotowania zawiesiny	Colírio, pó e veículo para suspensão	Picături oftalmice, pulbere şi solvent pentru suspensie	Капли глазные, порошок и растворитель для приготовления суспензии	Prášok a vehikulum na očné suspenzné kvapky	Kapljice za oko, prašek in vehikel za suspenzijo	Pluhur dhe tretës për pezulli për pika në sy	Kapi za oči, prašak i rastvarač za suspenziju	Ögondroppar, pulver och vätska till suspension	Göz damlası süspansiyonluk toz ve çözücüsü	Краплі очні, порошок та розчинник для суспензії	混悬型滴眼液用粉与溶剂	 - 
Ear drops, powder and solvent for suspension	Капки за уши, прах и разтворител за суспензия	Ušní kapky, prášek a rozpouštědlo pro suspenzi	Pulver og solvens til øredråber, suspension	Pulver und Lösungsmittel zur Herstellung einer Ohrentropfensuspension	Ωτικές σταγόνες, κόνις και διαλύτης για εναιώρημα	Polvo y disolvente para gotas óticas en suspensión	Kõrvatilgad, suspensiooni pulber ja lahusti	Korvatipat, jauhe ja liuotin suspensiota varten	Poudre et solvant pour suspension auriculaire en gouttes	Braonta cluaise, púdar agus tuaslagóir le haghaidh fuaidreáin	Kapi za uho, prašak i otapalo za suspenziju	Por és oldószer szuszpenziós fülcsepphez	Eyrnadropaduft og leysir, dreifa	Gocce auricolari, polvere e solvente per sospensione	Құлаққа арналған тамшылар, суспензия дайындау үшін ұнтақ және еріткіш	Ausų lašai (milteliai ir tirpiklis suspensijai)	Ausu pilieni, pulveris un šķīdinātājs suspensijas pagatavošanai	 - 	Qtar għall-widnejn, trab u solvent għal suspensjoni	Oordruppels, poeder en oplosmiddel voor suspensie	Pulver og væske til øredråper, suspensjon	Krople do uszu, proszek i rozpuszczalnik do sporządzania zawiesiny	Gotas auriculares, pó e veículo para suspensão	Picături auriculare, pulbere şi solvent pentru suspensie	Капли ушные, порошок и растворитель для приготовления суспензии	Prášok a vehikulum na ušné suspenzné kvapky	Kapljice za uho, prašek in vehikel za suspenzijo	Pluhur dhe tretës për pezulli për pika në vesh	Kapi za uši, prašak i rastvarač za suspenziju	Örondroppar, pulver och vätska till suspension	Kulak damlası, süspansiyonluk toz ve çözücüsü	Краплі вушні, порошок та розчинник для суспезії	混悬液型滴耳液用粉与溶剂	 - 
Powder and solvent for solution for injection	Прах и разтворител за инжекционен разтвор	Prášek a rozpouštědlo pro injekční roztok	Pulver og solvens til injektionsvæske, opløsning	Pulver und Lösungsmittel zur Herstellung einer Injektionslösung	Κόνις και διαλύτης για ενέσιμο διάλυμα	Polvo y disolvente para solución inyectable	Süstelahuse pulber ja lahusti	Injektiokuiva-aine ja liuotin, liuosta varten	Poudre et solvant pour solution injectable	Púdar agus tuaslagóir le haghaidh tuaslagáin le haghaidh insteallta	prašak i otapalo za otopinu za injekciju	Por és oldószer oldatos injekcióhoz	Stungulyfsstofn og leysir, lausn	Polvere e solvente per soluzione iniettabile	Инъекцияға арналған ерітінді дайындау үшін ұнтақ және еріткіш	Milteliai ir tirpiklis injekciniam tirpalui	Pulveris un šķīdinātājs injekciju šķīduma pagatavošanai	Прашок и вехикулум за раствор за инjектирање	Trab u solvent għal soluzzjoni għall-injezzjoni	Poeder en oplosmiddel voor oplossing voor injectie	Pulver og væske til injeksjonsvæske, oppløsning	Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	Pó e solvente para solução injetável	Pulbere şi solvent pentru soluţie injectabilă	Порошок и растворитель для приготовления раствора для инъекций	Prášok a rozpúšťadlo na injekčný roztok	Prašek in vehikel za raztopino za injiciranje	Pluhur dhe tretës për tretësirë për injeksion	Prašak i rastvarač za rastvor za injekciju	Pulver och vätska till injektionsvätska, lösning	Enjeksiyonluk çözelti tozu ve çözücüsü	 - 	溶液型注射液用粉末与溶剂	 - 
Powder and solvent for suspension for injection	Прах и разтворител за инжекционна суспензия	Prášek a rozpouštědlo pro injekční suspenzi	Pulver og solvens til injektionsvæske, suspension	Pulver und Lösungsmittel zur Herstellung einer Injektionssuspension	Κόνις και διαλύτης για ενέσιμο εναιώρημα	Polvo y disolvente para suspensión inyectable	Süstesuspensiooni pulber ja lahusti	Injektiokuiva-aine ja liuotin, suspensiota varten	Poudre et solvant pour suspension injectable	Púdar agus tuaslagóir le haghaidh fuaidreáin le haghaidh insteallta	prašak i otapalo za suspenziju za injekciju	Por és oldószer szuszpenziós injekcióhoz	Stungulyfsstofn og leysir, dreifa	Polvere e solvente per sospensione iniettabile	Инъекцияға арналған суспензия дайындау үшін ұнтақ және еріткіш	Milteliai ir tirpiklis injekcinei suspensijai	Pulveris un šķīdinātājs injekciju suspensijas pagatavošanai	Прашок и вехикулум за суспензиjа за инjектирање	Trab u solvent għal suspensjoni għall-injezzjoni	Poeder en oplosmiddel voor suspensie voor injectie	Pulver og væske til injeksjonsvæske, suspensjon	Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań	Pó e veículo para suspensão injetável	Pulbere şi solvent pentru suspensie injectabilă	Порошок и растворитель для приготовления суспензии для инъекций	Prášok a vehikulum na injekčnú suspenziu	Prašek in vehikel za suspenzijo za injiciranje	Pluhur dhe tretës për pezulli për injeksion	Prašak i rastvarač za suspenziju za injekciju	Pulver och vätska till injektionsvätska, suspension	Enjeksiyonluk süspansiyon tozu ve çözücüsü	 - 	混悬型注射液用粉末与溶剂	 - 
Powder and solvent for solution for infusion	Прах и разтворител за инфузионен разтвор	Prášek a rozpouštědlo pro infuzní roztok	Pulver og solvens til infusionsvæske, opløsning	Pulver und Lösungsmittel zur Herstellung einer Infusionslösung	Κόνις και διαλύτης για διάλυμα προς έγχυση	Polvo y disolvente para solución para perfusión	Infusioonilahuse pulber ja lahusti	Infuusiokuiva-aine ja liuotin, liuosta varten	Poudre et solvant pour solution pour perfusion	Púdar agus tuaslagóir le haghaidh tuaslagáin le haghaidh iondoirte	Prašak i otapalo za otopinu za infuziju	Por és oldószer oldatos infúzióhoz	Innrennslisstofn og leysir, lausn	Polvere e solvente per soluzione per infusione	Инфузияға арналған ерітінді дайындау үшін ұнтақ және еріткіш	Milteliai ir tirpiklis infuziniam tirpalui	Pulveris un šķīdinātajs infūziju šķīduma pagatavošanai	Прашок и вехикулум за раствор за инфузиjа	Trab u solvent għal soluzzjoni għall-infużjoni	Poeder en oplosmiddel voor oplossing voor infusie	Pulver og væske til infusjonsvæske, oppløsning	Proszek i rozpuszczalnik do sporządzania roztworu do infuzji	Pó e solvente para solução para perfusão	Pulbere şi solvent pentru soluţie perfuzabilă	Порошок и растворитель для приготовления раствора для инфузий	Prášok a rozpúšťadlo na infúzny roztok	Prašek in vehikel za raztopino za infundiranje	Pluhur dhe tretës për tretësirë për perfuzion	Prašak i rastvarač za rastvor za infuziju	Pulver och vätska till infusionsvätska, lösning	Perfüzyonluk çözelti tozu ve çözücüsü	 - 	输液用粉与溶剂	 - 
